N,Merge (ms),Insert (ms),Bubble (ms)
100,0.06,0.06,0.14
200,0.11,0.25,0.59
300,0.19,0.55,1.34
400,0.27,1.13,2.68
500,0.35,1.84,4.4
600,0.44,2.79,6.59
700,0.52,3.94,9.33
800,0.59,5.45,12.55
900,0.67,6.98,16.13
1000,0.74,8.38,19.7
1100,0.84,10.31,23.94
1200,0.92,12.78,27.3
1300,1.0,14.28,32.6
1400,1.09,16.3,36.56
1500,1.1,19.21,43.31
1600,1.19,22.38,50.03
1700,1.26,24.92,56.13
1800,1.32,27.74,63.04
1900,1.5,30.34,71.18
2000,1.64,35.05,76.77
2100,1.62,37.62,86.12
2200,1.85,41.42,94.66
2300,1.85,46.19,108.85
2400,1.95,50.38,113.8
2500,2.04,55.23,127.05
2600,2.11,59.47,136.37
2700,2.2,63.5,144.94
2800,2.32,68.76,158.92
2900,2.43,74.78,167.73
3000,2.5,79.19,188.58
3100,2.57,84.54,191.79
3200,2.66,88.99,210.69
3300,2.73,94.16,217.39
3400,2.81,100.96,232.16
3500,2.94,109.25,250.95
3600,3.01,113.05,263.67
3700,3.08,118.85,272.92
3800,3.19,128.78,299.32
3900,3.26,131.89,315.73
4000,3.32,139.94,326.24
4100,3.45,152.01,347.28
4200,3.58,157.11,359.18
4300,3.68,165.35,380.51
4400,3.79,171.95,397.54
4500,3.93,180.21,413.78
4600,3.96,185.38,428.61
4700,4.13,195.18,453.51
4800,4.16,203.52,471.24
4900,4.25,214.39,487.3
5000,4.43,222.17,508.81
